"variable","gain_only","gain_without","gain_full"
"distance.from.shore",NA,-0.637864051877413,-0.663472856452796
"po4_mean",NA,-0.648535926069601,-0.663472856452796
"si_mean",NA,-0.65375576721177,-0.663472856452796
"so_mean",NA,-0.646660665731947,-0.663472856452796
