"variable","gain_only","gain_without","gain_full"
"distance.from.shore",NA,-0.689756051925914,-0.62452491440382
"po4_mean",NA,-0.681476831899704,-0.62452491440382
"si_mean",NA,-0.673090122610436,-0.62452491440382
"so_mean",NA,-0.690111471412046,-0.62452491440382
