X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
122.7125861,37.38962694,train,0.001045834158776449,97.30145563601786,0.8224817806669558
122.6603755,36.84493488,train,6.850348917686437E-4,90.02243358032621,0.7521575920015209
122.542777,36.75475641,train,4.757684790398801E-4,75.36786561876679,0.6782223372957621
114.56,22.59,train,0.0010515745938267185,97.59757828930753,0.8232795824459057
122.504983,35.974092,train,4.256614875825126E-4,65.29124361633664,0.6534700383424209
123.825137,36.999143,train,2.738797879831395E-4,45.43227183137763,0.5481929906653865
121.7074492,29.03246431,train,8.737066323862656E-4,94.68361215831214,0.7946894433666447
123.28,30.0001,train,1.3946802920850767E-4,25.251279131668632,0.38190232642643607
124.499,28.421,train,7.527585534638019E-5,16.201786382268942,0.25008527069295916
122.007495,35.98824,test,5.222325465443541E-4,80.02719629247274,0.69821157480259
122.5967758,37.34162861,test,9.266108448562294E-4,95.88712700079209,0.8041153362630454
