X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
118.143,21.02628,train,7.769490386186105E-4,98.56315365779261,0.789483966246182
116.4854,18.68,train,2.1665999342287018E-4,46.53215644480596,0.5111911851148675
117.0,22.0,train,7.389430932501677E-4,96.30527150483076,0.781027439696285
116.5,21.9,train,7.033325622326316E-4,94.26039484240484,0.7724632700809568
116.0,21.0,train,6.270242915434132E-4,89.24998861928496,0.7516493424787223
115.5,22.0,train,3.886930400002068E-4,71.00901615115508,0.6523154987400221
120.1252,20.1325,train,2.847758978510341E-4,57.6367162859256,0.5788722278355865
116.7,20.8,train,3.7284163393071267E-4,68.9161939117691,0.6428135271433931
117.3,19.3,train,2.2245047121734229E-4,47.75624461231938,0.5177793556177427
118.9,22.0,train,7.03159859206901E-4,94.25083684183377,0.7724201031714918
117.8667,21.11148,train,7.882726262848644E-4,99.45231754749449,0.7918786679555965
115.81317,20.3237,train,5.071916173372829E-4,82.09792276333626,0.7099892462228975
114.8,21.0,train,5.339877561440044E-4,84.01829454262551,0.7204743699018722
110.4477,16.7286,train,2.149768803285242E-4,46.22983219786662,0.509242305346611
111.0531,17.62137,train,2.81276139223742E-4,57.18343097603341,0.5758548332992108
117.314,22.2803,train,6.982203324025444E-4,93.96968739074364,0.7711785032791534
117.850833,23.155,train,1.6246746465121002E-4,35.64228180288457,0.4395276477348302
119.314444,24.509722,train,3.740513211892073E-4,69.07448837634145,0.6435569294209714
123.49552,34.000235,train,1.3452303385037137E-4,28.41364910783898,0.39369143038570187
108.82,19.7429,train,1.2467751073304726E-4,25.84754163096216,0.37570316707084195
118.668889,22.802222,train,4.97026232261243E-4,81.28107239910939,0.7058028336708587
118.443611,22.046389,train,7.998110334443406E-4,100.0,0.794263400159275
117.7582033,21.02689667,train,7.088222658315095E-4,94.86463749079543,0.7738269325831788
117.7795417,22.01865167,train,7.578690622833084E-4,97.28042724346201,0.78532182800336
110.1884867,17.94423833,train,2.1768508307607883E-4,46.73281379028443,0.5123705722535769
116.6482183,19.05136333,train,2.5723001709851954E-4,54.03356480049226,0.5538932329762268
126.1602,30.6986,train,1.550072213394417E-4,33.92043779210104,0.42798297184398104
122.3256,28.3574,train,1.0834809284307134E-4,20.308212837625625,0.34339348972015526
122.4208,28.5958,train,1.2447544980515683E-4,25.794071069357525,0.37532280716927746
123.35,28.7017,train,2.414054957359164E-4,51.5039036627583,0.5381559276953289
126.1996,27.8008,train,6.019110378684563E-5,9.813116251017753,0.2251273428074575
121.3532,27.8001,train,6.152240644911526E-5,10.113580480239055,0.22896658876904738
110.5815,17.1227,test,2.3597255495937247E-4,50.36387206810544,0.5324937516764011
123.28,30.0001,test,1.672743639889649E-4,36.68864180842805,0.44672259733306197
116.1,21.7,test,7.083454687832426E-4,94.77690454536672,0.7737091429538601
114.3968967,18.46419833,test,2.946563317224486E-4,59.0992682102049,0.5871637323829936
113.3222768,21.85534441,test,1.7502387483652278E-4,38.631092355445084,0.4579409585012253
113.143943,15.8669,test,4.06887760343004E-5,5.494266008816789,0.1641587473104853
119.1804,21.63319,test,4.4797579232961596E-4,77.57377841028304,0.6837765588174745
118.21002,22.71983667,test,4.4371448903341793E-4,77.17846310704854,0.681706273573227
113.3826892,21.76549484,test,2.021550165458244E-4,43.78543416414022,0.4938697460830484
117.315833,22.268889,test,7.018176184040391E-4,94.17655245506057,0.7720840525919656
